Unique_No,Marca temporal,What is your gender?,What is your age? ,What is your height?,What_is_your_ape_index,How much do you weight? (In kg),Do you study or work?,What continent do you live in?,In which country do you live or climb at the most?,How often do you visit gyms/crags on states or countries other than the one you live in?,"If you plan a vacation, it is most likely intended as a...",Which describes you the best?,Which describes you the best?,How_many_years_have_you_been_climbing,Is/was any of your parents a climber?,Why do you climb? ,On_average_how_many_days_do_you_climb_in_a_week,How many of those are indoors?,How_many_of_those_do_you_consider_training_sessions?,"In case you train, how do you train?",How long are your training sessions on average?,"In case you train at a gym, what facilities does it include?","In case you climb indoors, do you climb indoors to improve your outdoors climbing, or is indoors climbing an end in itself?","Select the 5 aspects you personally put most of your efforts for improvement, regardless of it being in or out the gym",How tight do you get your climbing shoes?,Do you follow a specific diet?,Do you REGULARLY practice any other sport besides climbing?,What is the first thing you do when you get to the cym/crag?,What_is_your_hardest_indoor_onsight/flash_boulder_grade,What is your hardest indoor projected boulder grade?,What is your hardest outdoor onsight/flash boulder grade?,What is your hardest outdoor projected boulder grade?,flash_confidence,send_confidence,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_flash_that? ,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_send_that? ,What is the first thing you do when you get to the cym/crag?,How many routes do you normally climb in a day? (#),What is your hardest onsight/flash grade?,What is your hardest redpoint/projected grade?,"What grade do you feel a 80+% confidence to say ""I can most likely onsight/flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely finish that, even if i fall (no send)""","On your first attempt on a new project/route/problem at or above your current max grade, you normally...","When projecting SPORTS, how many attempts would you have on your projected route on the same day?",Which do you feel is usually your best performance on a project or hard route?,How_do_you_project?,
109,07/02/2020 18:25,Male,25,172,0,60,Study,Europe,Switzerland ,Around once a year,Mainly climbing trip but something else as well,Both rather equally,Both rather equally,5,No,Fun of the activity in itself,2,1,1,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Footwork, Core strength, Power endurance, Flexibility, Explosive power",Normal fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V7,V8,V6,V7,V5,V6,V5,V6,Stretch and warmup (before climbing),5,5.8 / Fr(5) or lower,5.9 / 6a,5.9 / 6a,5.10b / 6a+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,3rd attempt of the day,I do not project,
110,07/02/2020 18:56,Male,42,180,9,77,Study and work,Europe,Switzerland,Never,Trip that might have some climbing,Indoor climber,Sports climber,10,Yes,"Fun of the activity in itself, Health",2,2,1,I just climb more,2 to 3 hours,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strength, Power endurance, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V6,V7,V6,V7,V5,V5,V5,V5,"Climb an easy route, meant as a warmup",12,5.11a / 6b+,5.11c / 6c+,5.10b / 6a+,5.11b / 6c,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,Random attempt,I do not project,
116,08/02/2020 01:07,Male,23,178,0,66,Study and work,Europe,France,Around once a year,Completely non-climbing trip,Indoor climber,Boulderer,1,No,"Fun of the activity in itself, The places it takes you",2,2,1,Follow a training program by myself,More than 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Endurance, Power endurance, Flexibility, Explosive power",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V10,V3,V10,V2,V3,V2,V3,Stretch and warmup (before climbing),5,5.10d / 6b+,5.11d / 7a,5.9 / 6a,5.10d / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,Last attempt of the day,I do not project,
119,08/02/2020 03:55,Female,22,165,1,53,Neither,Europe,UK,Around once a year,Trip that might have some climbing,Indoor climber,Sports climber,7,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",1,1,0,I do not train,I do not train,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Route/problem-specific sequences, Flexibility",Tight fit,Vegetarian,No,"Climb easy problems, meant as a warmup",V4,V5,V0,V0,V3,V3,V3,V3,"Climb an easy route, meant as a warmup",4,5.8 / Fr(5) or lower,5.9 / 6a,5.8 / Fr(5) or lower,5.9 / 6a,Top-rope it first (sports),Usually 3 attempts per day,3rd attempt of the day,I do not project,
120,08/02/2020 04:19,Female,20,170,2,62,Study,Oceania,Australia ,Around thrice a year,Trip that might have some climbing,Both rather equally,Sports climber,3,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",2,1,0,I do not train,I do not train,,I indoor climb because i like indoor climbing,"Footwork, Core strength, Endurance, Power endurance, Trying more/different routes/problems",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V1,V1,V0,V0,V0,V1,V0,V1,"Climb an easy route, meant as a warmup",8,5.10c / 6b,5.11b / 6c,5.10c / 6b,5.10d / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I do not project,
121,08/02/2020 04:23,Male,18,182,0,62,Study,Europe,England,More than once per month,Trip that might have some climbing,Outdoor climber,Sports climber,4,Yes,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",2,2,0,I do not train,I do not train,,I indoor climb to improve my outdoor climbing,"Core strength, Endurance, Power endurance, Trying more/different routes/problems, Flexibility","""Comfy fit""","No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V3,V5,V1,V1,V3,V2,V3,V2,"Climb an easy route, meant as a warmup",10,5.11b / 6c,5.11c / 6c+,5.10c / 6b,5.10d / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,1st attempt of the day,I do not project,
124,08/02/2020 05:42,Female,26,166,-1,46,Study and work,Europe,UK,Around once a year,Trip that might have some climbing,Indoor climber,Boulderer,3,No,"Fun of the activity in itself, Health",3,3,0,I perform random exercises as they feel appropiate,Less than an hour,"Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Route/problem-specific sequences, Trying more/different routes/problems, Explosive power",Tight fit,Vegetarian,No,"Climb easy problems, meant as a warmup",V5,V7,V2,V4,V4,V5,V4,V5,"Climb an easy route, meant as a warmup",10,5.11c / 6c+,5.11d / 7a,5.11a / 6b+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,Random attempt,I do not project,
126,08/02/2020 06:50,Female,19,163,-2,51,Study,Europe,UK,Never,Trip that might have some climbing,Indoor climber,Boulderer,5,No,"Fun of the activity in itself, For the social part of climbing, Competition, For the challenge",3,3,2,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Normal fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V6,V7,V2,V4,V4,V6,V4,V6,"Climb an easy route, meant as a warmup",6,5.11c / 6c+,5.12a / 7a+,5.11b / 6c,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I do not project,
128,08/02/2020 07:43,Female,19,157,0,60,Work parttime,Europe,UK,Around once a year,Trip that might have some climbing,Both rather equally,Both rather equally,8,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you",2,2,0,I just climb more,2 to 3 hours,"Bouldering area, Lead climbing area, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Core strength, Endurance, Power endurance, Trying more/different routes/problems, Flexibility",Tight fit,Vegetarian + fish and/or milk,No,"Climb easy problems, meant as a warmup",V4,V6,V1,V3,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",5,5.11b / 6c,5.12a / 7a+,5.10b / 6a+,5.12b / 7b,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,Random attempt,I do not project,
129,08/02/2020 08:06,Female,32,166,0,62,Work fulltime,Europe,Uk,Around once a year,Completely non-climbing trip,Both rather equally,Both rather equally,12,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",2,1,1,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,Vegetarian + fish and/or milk,Yes,"Climb easy problems, meant as a warmup",V5,V6,V4,V4,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",8,5.11b / 6c,5.11d / 7a,5.10c / 6b,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,1st attempt of the day,I do not project,
131,08/02/2020 13:00,Male,26,176,0,69,Work fulltime,Oceania,New Zealand,Around once a year,Trip that might have some climbing,Indoor climber,Boulderer,2,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",3,3,0,I do not train,I do not train,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V5,V7,V3,V5,V4,V5,V4,V5,Stretch and warmup (before climbing),5,5.9 / 6a,5.10b / 6a+,5.8 / Fr(5) or lower,5.9 / 6a,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,3rd attempt of the day,I do not project,
132,08/02/2020 16:16,Female,25,171,0,54,Study,Europe,United Kingdom,Around once a year,Completely non-climbing trip,Indoor climber,Boulderer,1,No,"Fun of the activity in itself, Health, For the challenge",0,0,0,I do not train,2 to 3 hours,,I indoor climb because i like indoor climbing,"Footwork, Core strength, Power endurance, Route/problem-specific sequences, Cardio",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V3,V5,V1,V2,V1,V2,V1,V2,Stretch and warmup (before climbing),10,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try the holds and moves individually first (boulder),Usually 3 attempts per day,2nd attempt of the day,I do not project,
142,09/02/2020 11:26,Male,18,181,2,65,Study,North America,Canada,Around twice a year,Completely a climbing trip,Both rather equally,Both rather equally,7,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",2,2,0,I just climb more,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (with autobelay)",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,"No, I eat anything",No,Jump straight into the hard stuff,V5,V6,V3,V3,V4,V5,V4,V5,"Climb an easy route, meant as a warmup",7,5.11a / 6b+,5.11a / 6b+,5.10c / 6b,5.11a / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,Random attempt,I do not project,
143,09/02/2020 15:01,Female,26,161,0,43,Study and work,Europe,united kingdom,More than once per month,Trip that might have some climbing,Both rather equally,Both rather equally,0.7,No,"Fun of the activity in itself, The places it takes you, For the challenge",4,2,1,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Cardio","Very tight, borderline painful, fit",Vegan,Yes,Stretch and warmup (before climbing),V4,V6,V1,V1,V4,V4,V4,V4,Stretch and warmup (before climbing),4,5.11b / 6c,5.11c / 6c+,5.10c / 6b,5.11c / 6c+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,3rd attempt of the day,I do not project,
145,09/02/2020 19:28,Male,21,161,0,70,Study,Europe,England,Never,Completely non-climbing trip,Indoor climber,Sports climber,1,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",1,1,0,I just climb more,I do not train,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Core strength, Power endurance, Explosive power",Normal fit,"No, I eat anything",No,Stretch and warmup (before climbing),V5,V5,V0,V0,V0,V0,V0,V0,Stretch and warmup (before climbing),10,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,2nd attempt of the day,I do not project,
146,09/02/2020 20:56,Male,24,180,0,62,Study,Europe,uk,Around once a year,Completely non-climbing trip,Both rather equally,Both rather equally,3,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you",2,2,0,I do not train,I do not train,Bouldering area,I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Explosive power",Tight fit,Other,Yes,Stretch and warmup (before climbing),V5,V5,V1,V1,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",4,5.9 / 6a,5.10a / 6a+,5.9 / 6a,5.9 / 6a,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,Random attempt,I do not project,
151,10/02/2020 03:55,Male,21,167,0,60,Study,Asia,UAE,Around once per month,Completely non-climbing trip,Indoor climber,Boulderer,5,No,"Fun of the activity in itself, Health, For the challenge",1,1,1,I do not train,I do not train,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Endurance, Power endurance, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V2,V2,V0,V0,V2,V2,V2,V2,"Climb an easy route, meant as a warmup",4,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try the holds and moves individually first (boulder),Usually 3 attempts per day,2nd attempt of the day,I do not project,
1,05/02/2020 19:52,Female,27,163,0,52,Work fulltime,Asia,Hong Kong,Around thrice a year,Trip that might have some climbing,Both rather equally,Sports climber,3,Yes,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,2,0,I do not train,I do not train,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V3,V1,V1,V0,V0,V0,V0,"Climb an easy route, meant as a warmup",8,5.10b / 6a+,5.10d / 6b+,5.9 / 6a,5.10b / 6a+,Top-rope it first (sports),Usually 1 one attempt per day,1st attempt of the day,I purposely go to the same crag to keep going at it,
2,05/02/2020 20:10,Male,30,178,-1,67,Work fulltime,Asia,Hong Kong ,Around every 2 months,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,8,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,2,1,Follow a training program by myself,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Other,Yes,"Climb easy problems, meant as a warmup",V4,V5,V3,V4,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",5,5.11b / 6c,5.11d / 7a,5.10b / 6a+,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it,
4,05/02/2020 20:40,Female,27,162,0,57,Work fulltime,Asia,Hong Kong,Around twice a year,Trip that might have some climbing,Both rather equally,Boulderer,1,No,"Fun of the activity in itself, Health",2,1,1,I just climb more,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strenght, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V3,V4,V2,V3,V2,V3,V2,V3,Stretch and warmup (before climbing),0,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try the holds and moves individually first (boulder),Usually 1 one attempt per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
5,05/02/2020 21:08,Male,30,173,-4,68,Work fulltime,Asia,Hong Kong,Around every 2 months,Trip that might have some climbing,Both rather equally,Both rather equally,1.5,No,"Fun of the activity in itself, For the challenge",3,2,2,Follow a training program by myself,1 to 2 hours,"Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Explosive power",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V4,V1,V3,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",2,5.9 / 6a,5.11b / 6c,5.9 / 6a,5.11b / 6c,Top-rope it first (sports),Usually 3 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it,
6,05/02/2020 21:22,Female,24,170,0,63,Study,North America,USA,Around twice a year,Trip that might have some climbing,Both rather equally,Boulderer,2,No,"Fun of the activity in itself, For the social part of climbing, For the challenge",4,3,3,I just climb more,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strenght, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V4,V5,V2,V3,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",4,5.8 / Fr(5) or lower,5.9 / 6a,5.8 / Fr(5) or lower,5.9 / 6a,Try the holds and moves individually first (boulder),Usually more than 3 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it,
13,05/02/2020 23:24,Male,20,173,0,65,Study and work,Center or South America,Mexico,More than once per month,Mainly climbing trip but something else as well,Indoor climber,Boulderer,4,No,For the challenge,3,1,0,I do not train,I do not train,"Bouldering area, Moonboard or similar",I indoor climb because i like indoor climbing,"Finger strength, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems, Explosive power",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V6,V7,V4,V4,V5,V6,V5,V6,Stretch and warmup (before climbing),3,5.11d / 7a,5.12c / 7b+,5.11c / 6c+,5.12c / 7b+,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,1st attempt of the day,I purposely go to the same crag to keep going at it,43
15,05/02/2020 23:31,Male,34,175,5,72,Work fulltime,Asia,Hong Kong,Around twice a year,Trip that might have some climbing,Both rather equally,Both rather equally,10,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,2,2,Follow a training program by myself,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V7,V9,V7,V10,V6,V7,V6,V7,"Climb an easy route, meant as a warmup",2,5.12a / 7a+,5.13d /8b,5.11b / 6c,5.12c / 7b+,Try the holds and moves individually first (boulder),Usually 3 attempts per day,Last attempt of the day,I purposely go to the same crag to keep going at it,
17,05/02/2020 23:36,Male,23,185,5,68,Work fulltime,Oceania,Canada,Around every 2 months,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,3,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",3,2,2,Follow a training program from a book or online course,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strenght, Power endurance, Route/problem-specific sequences",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V6,V10,V4,V9,V4,V8,V4,V8,"Climb an easy route, meant as a warmup",4,5.12c / 7b+,5.13c / 8a+,5.12b / 7b,5.13d /8b,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
19,05/02/2020 23:39,Male,22,181,10,73,Study,North America,Mexico,Never,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,2,No,"Fun of the activity in itself, Health, The places it takes you, For the challenge",4,3,3,Follow a training program with a coach,1 to 2 hours,"Lead climbing area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Power endurance, Explosive power",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V4,V5,V2,V3,V3,V5,V3,V5,"Climb an easy route, meant as a warmup",3,5.11c / 6c+,5.13a / 7c+,5.11b / 6c,5.12b / 7b,Top-rope it first (sports),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
22,05/02/2020 23:45,Male,27,167,0,72,Study,Center or South America,Chile,More than once per month,Trip that might have some climbing,Both rather equally,Boulderer,8,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,1,2,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems","""Comfy fit""","No, I eat anything",Yes,Stretch and warmup (before climbing),V5,V8,V4,V7,V3,V4,V3,V4,Stretch and warmup (before climbing),4,5.10c / 6b,5.11c / 6c+,5.10d / 6b+,5.10c / 6b,Try the holds and moves individually first (boulder),Usually 2 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it,
31,06/02/2020 00:33,Female,29,162,1,54,Study and work,Europe,Switzerland,Around every 2 months,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,3.5,No,"Fun of the activity in itself, For the social part of climbing, For the challenge",5,3,3,Follow a training program with a coach,2 to 3 hours,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Power endurance, Explosive power","Very tight, borderline painful, fit","No, I eat anything",No,Stretch and warmup (before climbing),V6,V6,V3,V4,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",4,5.11d / 7a,5.12d / 7c,5.11a / 6b+,5.12b / 7b,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
32,06/02/2020 00:36,Male,40,175,0,70,Work fulltime,Europe,Italy,Around twice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,24,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,1,1,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Footwork, Core strength, Power endurance, Flexibility, Explosive power",Tight fit,Vegetarian + fish and/or milk,Yes,"Climb easy problems, meant as a warmup",V4,V6,V5,V4,V3,V4,V3,V4,Stretch and warmup (before climbing),5,5.11b / 6c,5.12a / 7a+,5.11a / 6b+,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
33,06/02/2020 00:53,Male,25,170,0,70,Work parttime,North America,Canada,More than once per month,Completely a climbing trip,Outdoor climber,Boulderer,7,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, The places it takes you, For the challenge",3,0,0,I do not train,I do not train,Bouldering area,I do not indoor climb,"Finger strength, Endurance, Power endurance, Flexibility, Explosive power","Very tight, borderline painful, fit","No, I eat anything",No,"Climb easy problems, meant as a warmup",V6,V9,V5,V8,V4,V5,V4,V5,"Climb an easy route, meant as a warmup",10,5.10d / 6b+,5.12c / 7b+,5.10d / 6b+,5.12b / 7b,Try the holds and moves individually first (boulder),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
38,06/02/2020 03:07,Male,35,183,0,70,Neither,Europe,spain,Around every 2 months,Completely a climbing trip,Outdoor climber,Sports climber,14,No,Fun of the activity in itself,4,0,0,Follow a training program by myself,Less than an hour,,I do not indoor climb,"Finger strength, Core strength, Endurance, Power endurance, Explosive power","Very tight, borderline painful, fit","No, I eat anything",Yes,Stretch and warmup (before climbing),V8,V10,V8,V11,V6,V8,V6,V8,Stretch and warmup (before climbing),6,5.13b / 8a,5.14a / 8b+,5.12c / 7b+,5.13c / 8a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
41,06/02/2020 04:54,Female,19,165,0,68,Study and work,Europe,Sweden,Never,Trip that might have some climbing,Indoor climber,Sports climber,7,No,"Fun of the activity in itself, Health, For the challenge",2,2,2,Follow a training program by myself,Less than an hour,"Bouldering area, Lead climbing area, Top rope area (with autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Footwork, Core strength, Trying more/different routes/problems, Flexibility, Explosive power",Tight fit,Vegetarian + fish and/or milk,No,Stretch and warmup (before climbing),V1,V2,V0,V0,V0,V2,V0,V2,Stretch and warmup (before climbing),5,5.11a / 6b+,5.11b / 6c,5.10b / 6a+,5.11a / 6b+,Top-rope it first (sports),Usually 3 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it,
48,06/02/2020 07:30,Female,26,158,0,51,Work fulltime,Asia,Hong Kong,Around twice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,8,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,2,0,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V5,V2,V5,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",4,5.12a / 7a+,5.13b / 8a,5.11c / 6c+,5.12b / 7b,Try the holds and moves individually first (boulder),Usually more than 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
50,06/02/2020 10:12,Male,45,170,0,70,Work fulltime,North America,México,Around twice a year,Trip that might have some climbing,Outdoor climber,Sports climber,20,No,Todas,1,0,2,I just climb more,More than 3 hours,Lead climbing area,I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V3,V3,V3,V3,V3,V3,V3,"Climb an easy route, meant as a warmup",5,5.10a / 6a+,5.11c / 6c+,5.10c / 6b,5.10c / 6b,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
